"PrincipalAquifer","SuCode","State","STAID","DATES","NAWQA_ID","R65064","P65064","R65065","P65065","R65066","P65066","R65067","P65067","R65068","P65068","R65069","P65069","R65070","P65070","R65072","P65072","R61678","P61678","R65078","P65078","R65080","P65080","R61679","P61679","R65084","P65084","R61680","P61680","R65085","P65085","R61682","P61682","R61683","P61683","R65087","P65087","R65088","P65088","R65089","P65089","R65090","P65090","R65091","P65091","R61685","P61685","R65093","P65093","R65098","P65098"
"Floridan aquifer system","florpas1","SC",324505081145100,"6/15/2015","FLORPAS1-57","<","9","<","5","<","8","<","19","<","6","<","6","<","5","<","5","<","50","<","5","<","206","<","17","<","11","<","22","<","5","<","19","<","20","<","10","<","10","NA","NA","<","9","<","18","<","14","<","500","<","5"
"Basin and Range aquifers","bnrfpas1","AZ",331616111401101,"8/5/2013","BNRFPAS1-54","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","50","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","25","<","14","<","500","<","5"
"Northern Atlantic Coastal Plain aquifer system","nacppas2","NC",345927078170301,"9/5/2013","NACPPAS2B-03","<","10","NA","0.4172","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","MS",344927089583901,"6/3/2014","METXPAS1-38","<","9","NA","4.6625","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","5","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","3"
"Edwards-Trinity aquifer system","edtrpas1","TX",333855096542701,"12/15/2016","EDTRPAS1-22","<","25","<","6.8","<","8","<","100","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Southeastern Coastal Plain aquifer system","secppas1","AL",314249086153501,"7/25/2013","SECPPAS1-C-39","<","50","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"High Plains aquifer","hpaqpas1","TX",324858101594501,"6/2/2016","HPAQPAS1-71","<","9","NA","3.4884","<","8","<","19","<","6","<","6","<","4","<","5","<","50","<","5","<","206","<","17","<","11","<","22","<","5","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Glacial aquifer system","glacpas1","MN",454900094342101,"9/26/2013","GLACPAS1-37","<","10","NA","2.19","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","E","6.6017","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","NA","NA","<","3"
"Floridan aquifer system","florpas1","GA",324439082161301,"6/15/2015","FLORPAS1-09","<","9","<","5","<","8","<","19","<","6","<","6","<","5","<","5","<","50","<","5","<","206","<","17","<","11","<","22","<","5","<","19","<","20","<","10","<","10","NA","NA","<","9","<","18","<","14","<","500","<","5"
"Glacial aquifer system","glacpas1","CT",414859072185801,"7/15/2014","GLACPAS1-51","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5.4057"
"Colorado Plateaus aquifers","coplpas1","UT",373147110430001,"7/12/2017","COPLPAS1-19","<","10","<","6.8","<","8","<","19","<","25","<","10","<","5","<","3","<","50","<","2.8","<","206","<","50","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Floridan aquifer system","florpas1","FL",263740081494001,"4/29/2015","FLORPAS1-49","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Biscayne aquifer","biscpas1","FL",253003080330201,"6/9/2016","BISCPAS1-33","<","10","NA","9.593","<","8","<","19","<","50","<","5.6","<","5","<","5","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Basin and Range aquifers","bnrfpas1","CA",341643116243101,"6/12/2013","BNRFPAS1-03","<","9","<","25","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Floridan aquifer system","florpas1","FL",294640082021401,"4/15/2015","FLORPAS1-36","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","5","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","VA",375334079530201,"8/26/2013","VPDCPAS1-40","<","9","<","5","<","10","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Coastal lowlands aquifer system","clowpas1","TX",281433097191300,"9/12/2013","CLOWPAS1-20","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","10","<","10","<","500","<","9","<","50","<","14","<","500","<","10"
"Colorado Plateaus aquifers","coplpas1","CO",401506108595401,"7/25/2017","COPLPAS1-53","<","10","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Columbia Plateau basin-fill and basaltic-rock aquifers","clptpas1","WA",470351120394801,"6/30/2016","CLPTPAS1-05","<","7","<","6.8","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","50","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
