"PrincipalAquifer","SuCode","State","STAID","DATES","NAWQA_ID","R65064","P65064","R65065","P65065","R65066","P65066","R65067","P65067","R65068","P65068","R65069","P65069","R65070","P65070","R65072","P65072","R61678","P61678","R65078","P65078","R65080","P65080","R61679","P61679","R65084","P65084","R61680","P61680","R65085","P65085","R61682","P61682","R61683","P61683","R65087","P65087","R65088","P65088","R65089","P65089","R65090","P65090","R65091","P65091","R61685","P61685","R65093","P65093","R65098","P65098"
"Colorado Plateaus aquifers","coplpas1","CO",401524106500301,"7/27/2017","COPLPAS1-55","<","10","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","SC",344018082214901,"8/20/2014","PIEDPAS1-26","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","NA","3.3026","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Cambrian-Ordovician aquifer system","cmorpas1","IA",432501093320001,"5/14/2014","CMORPAS1-11","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","10","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Coastal lowlands aquifer system","clowpas1","FL",302329087040001,"12/11/2013","CLOWPAS1-60","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","10","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","250","<","14","<","500","<","3"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","NC",360914081481001,"8/20/2014","PIEDPAS1-17","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Edwards-Trinity aquifer system","edtrpas1","TX",291839099382801,"3/9/2017","EDTRPAS1-37","<","25","<","6.8948","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","25","<","3.6","<","25","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Columbia Plateau basin-fill and basaltic-rock aquifers","clptpas1","OR",454300120122001,"7/25/2016","CLPTPAS1-40","<","9","NA","3.8286","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","25","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","TX",285358099063501,"8/12/2015","METXPAS1-83","<","9","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","50","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","50"
"Basin and Range aquifers","bnrfpas1","NV",381704117031401,"8/26/2013","BNRFPAS1-22","<","9","<","5","<","10","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Coastal lowlands aquifer system","clowpas1","MS",312952089444201,"6/13/2013","CLOWPAS1-52","<","9","<","25","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Cambrian-Ordovician aquifer system","cmorpas1","WI",445330091554901,"7/23/2014","CMORPAS1-25","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","5","<","50","<","3","<","250","<","250","<","11","<","22","<","3","<","19","<","20","<","10","<","10","NA","NA","<","9","<","18","<","14","<","500","<","11.7429"
"Floridan aquifer system","florpas1","FL",301930082585001,"6/29/2015","FLORPAS1-52","<","10","<","5","<","8","<","19","<","10","<","6","<","5","<","5","<","50","<","5","<","250","<","17","<","11","<","22","NA","1.9859","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","8.5829"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","AR",344145091175601,"8/21/2014","METXPAS1-19","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Glacial aquifer system","glacpas1","MN",440435091404901,"9/16/2013","GLACPAS1-U11","<","10","NA","16.4046","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","E","13.0729","<","10","<","10","<","500","NA","17.0337","<","50","<","14","<","500","<","10"
"Edwards-Trinity aquifer system","edtrpas1","TX",305714103114001,"6/14/2017","EDTRPAS1-64","<","25","<","7.3049","<","8","<","19","<","25","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","25","<","11","<","22","<","3.6","<","25","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Edwards-Trinity aquifer system","edtrpas1","TX",292225100530601,"5/15/2017","EDTRPAS1-51","<","25","<","10","<","10","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","1000","<","17","<","11","<","22","<","3.6","<","25","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","LA",322918092031901,"6/19/2014","METXPAS1-23","<","9","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Basin and Range aquifers","bnrfpas1","AZ",321607109133501,"8/20/2013","BNRFPAS1-60","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","VA",383756078455601,"8/17/2013","VPDCPAS1-36","<","10","NA","17.0431","<","10","<","100","<","50","<","6","<","10","<","4","<","50","<","3","<","206","<","17","<","50","<","50","<","3","<","50","<","50","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","AL",315621088271901,"8/26/2014","METXPAS1-58","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Ozark Plateaus aquifer system","ozrkpas1","OK",364807094434201,"6/14/2016","OZRKPAS1-04","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","10","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Floridan aquifer system","florpas1","FL",302830083384001,"3/25/2015","FLORPAS1-31","<","10","<","5.55","<","8.88","<","21.09","<","10","<","6.66","<","4.44","<","4.44","<","55.5","<","3.33","<","228.66","<","18.87","<","12.21","<","24.42","<","3.33","<","21.09","<","22.2","<","6.66","<","11.1","NA","NA","<","9.99","<","19.98","<","15.54","<","555","<","10"
"Cambrian-Ordovician aquifer system","cmorpas1","WI",450018091435301,"8/20/2014","CMORPAS1-24","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Columbia Plateau basin-fill and basaltic-rock aquifers","clptpas1","WA",472756117373001,"7/27/2016","CLPTPAS1-21","<","7","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Basin and Range aquifers","bnrfpas1","CA",350206118082401,"7/10/2013","BNRFPAS1-12","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Ozark Plateaus aquifer system","ozrkpas1","MO",364202093524201,"6/15/2016","OZRKPAS1-28","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","10","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Glacial aquifer system","glacpas1","MT",485320104464601,"7/22/2014","GLACPAS1-08","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","5","<","50","<","3","<","250","<","250","<","11","<","22","<","3","<","19","<","20","<","10","<","10","NA","NA","<","9","<","18","<","14","<","500","<","10.1083"
"High Plains aquifer","hpaqpas1","NE",423800100141001,"6/25/2015","HPAQPAS1-37","<","10","<","5","<","8","<","19","<","10","<","6","<","5","<","5","<","50","<","5","<","250","<","17","<","11","<","22","<","5","<","19","E","7.1464","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","NA","4.7021"
"Coastal lowlands aquifer system","clowpas1","LA",312144092401801,"8/8/2013","CLOWPAS1-35","<","9","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","E","3.0405","<","6","<","10","<","500","<","9","<","25","<","14","<","500","<","3"
"Northern Atlantic Coastal Plain aquifer system","nacppas2","VA",372454076512801,"9/24/2013","NACPPAS2A-27","<","9","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","NA","0.4192","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","NA","NA","<","10"
"Floridan aquifer system","florpas1","FL",264460080406001,"4/23/2015","FLORPAS1-44","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","25","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Southeastern Coastal Plain aquifer system","secppas1","AL",310630085355601,"7/18/2013","SECPPAS1-C-38","<","10","<","5","<","8","<","19","<","6","<","6","<","5","<","5","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","10","<","25","<","14","<","500","<","3"
"Basin and Range aquifers","bnrfpas1","AZ",312658109360401,"8/14/2013","BNRFPAS1-57","<","9","NA","0.401","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Edwards-Trinity aquifer system","edtrpas1","TX",321001098113601,"11/29/2016","EDTRPAS1-13","<","10","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","MS",342921089341201,"6/11/2014","METXPAS1-44","<","10","<","5","<","8","<","50","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","10"
"Coastal lowlands aquifer system","clowpas1","MS",311642090113601,"6/25/2013","CLOWPAS1-55","<","50","<","250","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","5"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","NC",362336079270001,"8/26/2014","PIEDPAS1-21","<","9","<","5","<","8","<","100","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","TX",280232099210601,"7/29/2015","METXPAS1-73","<","9","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Basin and Range carbonate-rock aquifers","bnrcpas1","UT",401944111375301,"7/28/2015","BNRCPAS1-12","<","9","<","5","<","8","<","19","<","10","NA","0.8073","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Southeastern Coastal Plain aquifer system","secppas1","GA",324816083290901,"9/16/2013","SECPPAS1-C-04","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","10","<","10","<","500","<","9","<","50","<","14","<","500","<","10"
"Coastal lowlands aquifer system","clowpas1","TX",300413094402101,"8/22/2013","CLOWPAS1-09","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Glacial aquifer system","glacpas1","OH",394208082252201,"8/13/2013","GLACPAS1-U19","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","PA",402058076124101,"8/26/2013","VPDCPAS1-22","<","9","NA","36.3749","<","10","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Cambrian-Ordovician aquifer system","cmorpas1","MI",461500085550001,"8/18/2014","CMORPAS1-54","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","AR",354459090334000,"8/4/2014","METXPAS1-93","<","25","<","5","<","8","<","19","<","25","<","6","<","4","<","5","<","50","<","3","<","250","<","17","<","11","<","25","<","3","<","25","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","5"
"Colorado Plateaus aquifers","coplpas1","UT",381034109274501,"7/19/2017","COPLPAS1-22","<","10","<","6.8","<","8","<","50","<","25","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Basin and Range aquifers","bnrfpas1","CA",333700114340001,"7/9/2013","BNRFPAS1-11","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","NA","5.2891","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Southeastern Coastal Plain aquifer system","secppas1","SC",343817079353709,"6/25/2013","SECPPAS1-C-15","<","50","<","250","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","17","<","11","<","22","NA","0.9421","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","5"
"Glacial aquifer system","glacpas1","MN",443306094125501,"11/20/2013","GLACPAS1-43","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Biscayne aquifer","biscpas1","FL",261838080062001,"8/23/2016","BISCPAS1-03","<","10","NA","2.8115","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","250","<","50","<","11","<","22","NA","7.8178","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Glacial aquifer system","glacpas1","MI",435000084510001,"8/26/2013","GLACPAS1-46","<","9","<","5","<","10","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Floridan aquifer system","florpas1","FL",291215082051401,"7/1/2015","FLORPAS1-55","<","10","<","5","<","8","<","19","<","10","<","6","<","5","<","5","<","50","<","5","<","250","<","17","<","11","<","22","<","5","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","6.9773"
"Ozark Plateaus aquifer system","ozrkpas1","AR",361325091363701,"4/26/2016","OZRKPAS1-53","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","VA",385222077513101,"8/14/2014","PIEDPAS1-55","<","25","<","5","<","8","<","19","<","25","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","NA","0.909","<","19","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","3"
"Floridan aquifer system","florpas1","FL",292420081084001,"4/16/2015","FLORPAS1-37","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","25","<","25","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Ozark Plateaus aquifer system","ozrkpas1","MO",372726091124601,"6/15/2016","OZRKPAS1-29","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","10","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","TX",290754098062601,"8/31/2015","METXPAS1-89","<","10","<","5","<","8","<","19","<","50","<","6","<","5","<","4","<","50","<","15.7634","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Ozark Plateaus aquifer system","ozrkpas1","MO",372929094122701,"7/12/2016","OZRKPAS1-36","<","7","<","6.8","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Columbia Plateau basin-fill and basaltic-rock aquifers","clptpas1","OR",452550117152001,"7/13/2016","CLPTPAS1-38","<","10","NA","2997.08","<","8","<","19","<","50","<","5.6","<","5","<","3","NA","15.3216","<","2.8","<","250","<","50","<","11","<","22","<","3.6","<","18","NA","36.6388","<","5.4","<","8.4","NA","NA","NA","2818.09","<","50","<","12","<","500","<","10"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","TN",354041084243601,"7/16/2013","VPDCPAS1-17","<","50","<","5","<","8","<","19","<","6","NA","0.7183","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Northern Atlantic Coastal Plain aquifer system","nacppas2","VA",381531076583001,"9/30/2013","NACPPAS2B-22","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","NA","NA","<","3"
"Colorado Plateaus aquifers","coplpas1","AZ",353113109511901,"10/3/2017","COPLPAS1-12","NA","NA","<","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Southeastern Coastal Plain aquifer system","secppas1","AL",315820087202001,"8/7/2013","SECPPAS1-C-41","<","9","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","25","<","14","<","500","<","3"
"Cambrian-Ordovician aquifer system","cmorpas1","IA",422339094375102,"4/1/2014","CMORPAS1-03","<","10","<","5","<","10","<","19","<","10","<","10","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Basin and Range aquifers","bnrfpas1","CA",351556116404601,"7/17/2013","BNRFPAS1-16","<","50","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Glacial aquifer system","glacpas1","IN",401100084480000,"5/19/2014","GLACPAS1-72","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","5","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","5"
"Floridan aquifer system","florpas1","FL",300644085114601,"3/24/2015","FLORPAS1-29","<","10","<","5.55","<","8.88","<","21.09","<","10","<","6.66","<","4.44","<","4.44","<","55.5","<","3.33","<","228.66","<","18.87","<","12.21","<","24.42","<","3.33","<","21.09","<","22.2","<","6.66","<","11.1","NA","NA","<","9.99","<","19.98","<","15.54","<","555","<","10"
"Floridan aquifer system","florpas1","GA",322201082350801,"6/18/2015","FLORPAS1-16","<","9","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Glacial aquifer system","glacpas1","NE",402400095490001,"7/24/2013","GLACPAS1-79","<","50","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Coastal lowlands aquifer system","clowpas1","LA",301704091141201,"7/25/2013","CLOWPAS1-31","<","50","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","NA","1.239","<","19","E","2.2146","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Basin and Range aquifers","bnrfpas1","AZ",322024109511801,"8/22/2013","BNRFPAS1-62","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Edwards-Trinity aquifer system","edtrpas1","TX",321745097204701,"12/1/2016","EDTRPAS1-16","<","10","<","6.8","<","10","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","NA","NA","<","11","<","22","<","3.6","<","25","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"High Plains aquifer","hpaqpas1","CO",391758103041101,"8/13/2015","HPAQPAS1-11","<","9","NA","18.4411","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","50","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","50"
"Colorado Plateaus aquifers","coplpas1","CO",392554107195201,"6/26/2017","COPLPAS1-45","<","25","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Columbia Plateau basin-fill and basaltic-rock aquifers","clptpas1","WA",474458118311401,"7/25/2016","CLPTPAS1-18","<","7","NA","3.1812","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","50","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Cambrian-Ordovician aquifer system","cmorpas1","IA",430328092182602,"4/30/2014","CMORPAS1-19","<","9","<","19.4","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","E","36.767","<","50","<","14","<","500","<","3"
"Colorado Plateaus aquifers","coplpas1","UT",371707109323201,"8/2/2017","COPLPAS1-24","<","25","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","MS",324806090553601,"7/2/2014","METXPAS1-49","<","50","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","10"
"Rio Grande aquifer system","rgaqpas1","NM",324131107020301,"5/15/2014","RGAQPAS1-04","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","10","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","MS",334420090444001,"6/4/2014","METXPAS1-41","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","5","<","50","<","10","<","206","<","17","<","11","<","22","<","3","<","50","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Floridan aquifer system","florpas1","FL",280020082462001,"3/10/2015","FLORPAS1-18","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","NA","1.2566","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","PA",400737077114301,"7/31/2013","VPDCPAS1-09","<","9","NA","7.7632","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Southeastern Coastal Plain aquifer system","secppas1","AL",332357087524301,"8/15/2013","SECPPAS1-BW-31","<","10","<","10","<","10","<","100","<","50","<","6","<","10","<","4","<","50","<","3","<","206","<","17","<","50","<","50","<","3","<","50","<","50","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Rio Grande aquifer system","rgaqpas1","NM",324849105580001,"7/22/2014","RGAQPAS1-31","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","5","<","50","<","3","<","250","<","250","<","11","<","22","<","3","<","19","<","20","<","10","<","10","NA","NA","<","9","<","18","<","14","<","500","<","14.7674"
"Cambrian-Ordovician aquifer system","cmorpas1","WI",424007088171701,"7/1/2014","CMORPAS1-58","<","50","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","10"
"Floridan aquifer system","florpas1","FL",294020083222001,"3/26/2015","FLORPAS1-32","<","10","<","5.55","<","8.88","<","21.09","<","10","<","6.66","<","4.44","<","4.44","<","55.5","<","3.33","<","228.66","<","18.87","<","12.21","<","24.42","<","3.33","<","21.09","<","22.2","<","6.66","<","11.1","NA","NA","<","9.99","<","19.98","<","15.54","<","555","<","10"
