"","NAWQA_ID","SuCode","SuCode2","R17503","P17503","R82303","P82303","KPb210"
"357","SECPPAS1-C-28","secppas1","secp1c",NA,0.47,NA,350,2978.72340425532
"358","SECPPAS1-C-29","secppas1","secp1c",NA,0.43,NA,235,2186.04651162791
"359","SECPPAS1-C-30","secppas1","secp1c",NA,0.4,NA,169,1690
"360","SECPPAS1-C-32","secppas1","secp1c",NA,0.7,NA,44.2,252.571428571429
"361","SECPPAS1-C-33","secppas1","secp1c",NA,0.33,NA,71.2,863.030303030303
"362","SECPPAS1-C-36","secppas1","secp1c",NA,0.4,NA,189,1890
"363","SECPPAS1-C-38","secppas1","secp1c",NA,0.32,NA,76.3,953.75
"364","SECPPAS1-C-40","secppas1","secp1c",NA,0.57,NA,37.8,265.263157894737
"365","VPDCPAS1-01","vpdcpas1","vpdc",NA,0.37,NA,463,5005.4054054054
"366","VPDCPAS1-03","vpdcpas1","vpdc",NA,0.72,NA,772,4288.88888888889
"367","VPDCPAS1-06","vpdcpas1","vpdc",NA,0.65,NA,549,3378.46153846154
"368","VPDCPAS1-07","vpdcpas1","vpdc",NA,0.47,NA,313,2663.82978723404
"369","VPDCPAS1-08","vpdcpas1","vpdc",NA,0.7,NA,533,3045.71428571429
"370","VPDCPAS1-09","vpdcpas1","vpdc",NA,0.6,NA,624,4160
"371","VPDCPAS1-10","vpdcpas1","vpdc",NA,0.54,NA,225,1666.66666666667
"372","VPDCPAS1-12","vpdcpas1","vpdc",NA,1.02,NA,175,686.274509803922
"373","VPDCPAS1-14","vpdcpas1","vpdc",NA,0.33,NA,255,3090.90909090909
"374","VPDCPAS1-16","vpdcpas1","vpdc",NA,0.33,NA,507,6145.45454545455
"375","VPDCPAS1-17","vpdcpas1","vpdc",NA,0.46,NA,1192,10365.2173913043
"376","VPDCPAS1-18","vpdcpas1","vpdc",NA,0.52,NA,403,3100
"377","VPDCPAS1-19","vpdcpas1","vpdc",NA,1.25,NA,1050,3360
"378","VPDCPAS1-22","vpdcpas1","vpdc",NA,0.81,NA,239,1180.24691358025
"379","VPDCPAS1-23","vpdcpas1","vpdc",NA,0.61,NA,313,2052.45901639344
"380","VPDCPAS1-24","vpdcpas1","vpdc",NA,0.51,NA,1450,11372.5490196078
"381","VPDCPAS1-25","vpdcpas1","vpdc",NA,0.64,NA,374,2337.5
"382","VPDCPAS1-27","vpdcpas1","vpdc",NA,0.77,NA,444,2306.49350649351
"383","VPDCPAS1-28","vpdcpas1","vpdc",NA,0.53,NA,48,362.264150943396
"384","VPDCPAS1-31","vpdcpas1","vpdc",NA,0.85,NA,272,1280
"385","VPDCPAS1-32","vpdcpas1","vpdc",NA,0.41,NA,306,2985.36585365854
"386","VPDCPAS1-34","vpdcpas1","vpdc",NA,0.63,NA,657,4171.42857142857
"387","VPDCPAS1-35","vpdcpas1","vpdc",NA,0.65,NA,982,6043.07692307692
"388","VPDCPAS1-36","vpdcpas1","vpdc",NA,0.58,NA,200,1379.31034482759
"389","VPDCPAS1-38","vpdcpas1","vpdc",NA,0.5,NA,1016,8128
"390","VPDCPAS1-40","vpdcpas1","vpdc",NA,1.51,NA,845,2238.41059602649
"391","VPDCPAS1-41","vpdcpas1","vpdc",NA,0.55,NA,47.1,342.545454545455
"392","VPDCPAS1-42","vpdcpas1","vpdc",NA,0.35,NA,1152,13165.7142857143
"393","VPDCPAS1-44","vpdcpas1","vpdc",NA,0.96,NA,262,1091.66666666667
"394","VPDCPAS1-45","vpdcpas1","vpdc",NA,0.64,NA,761,4756.25
"395","VPDCPAS1-46","vpdcpas1","vpdc",NA,0.56,NA,356,2542.85714285714
"396","VPDCPAS1-51","vpdcpas1","vpdc",NA,0.4,NA,431,4310
"397","VPDCPAS1-52","vpdcpas1","vpdc",NA,0.87,NA,704,3236.7816091954
"398","VPDCPAS1-55","vpdcpas1","vpdc",NA,0.76,NA,950,5000
"399","VPDCPAS1-58","vpdcpas1","vpdc",NA,0.78,NA,242,1241.02564102564
"400",NA,"coplpas1","copl",NA,2.24,NA,202,360.714285714286
"401",NA,"coplpas1","copl",NA,0.28,NA,678,9685.71428571429
"402",NA,"coplpas1","copl",NA,0.29,NA,395,5448.27586206897
"403",NA,"coplpas1","copl",NA,0.53,NA,900,6792.45283018868
"404",NA,"coplpas1","copl",NA,0.46,NA,648,5634.78260869565
"405",NA,"coplpas1","copl",NA,2.58,NA,2700,4186.04651162791
"406",NA,"coplpas1","copl",NA,0.3,NA,376,5013.33333333333
"407",NA,"coplpas1","copl",NA,0.96,NA,3650,15208.3333333333
"408",NA,"coplpas1","copl",NA,0.31,NA,454,5858.06451612903
"409",NA,"coplpas1","copl",NA,0.59,NA,1362,9233.89830508475
"410",NA,"coplpas1","copl",NA,0.68,NA,818,4811.76470588235
"411",NA,"coplpas1","copl",NA,0.6,NA,890,5933.33333333333
"412",NA,"edtrpas1","edtr",NA,0.49,NA,78.8,643.265306122449
"413",NA,"edtrpas1","edtr",NA,0.53,NA,372,2807.54716981132
"414",NA,"edtrpas1","edtr",NA,0.49,NA,277,2261.22448979592
"415",NA,"edtrpas1","edtr",NA,1.62,NA,129,318.518518518518
"416",NA,"edtrpas1","edtr",NA,0.42,NA,115,1095.2380952381
"417",NA,"edtrpas1","edtr",NA,0.32,NA,108,1350
"418",NA,"edtrpas1","edtr",NA,0.59,NA,205,1389.83050847458
"419",NA,"edtrpas1","edtr",NA,0.46,NA,179,1556.52173913043
"420",NA,"edtrpas1","edtr",NA,0.44,NA,917,8336.36363636364
"421",NA,"edtrpas1","edtr",NA,0.48,NA,39.1,325.833333333333
"422",NA,"ozrkpas1","ozrk",NA,0.41,NA,27.3,266.341463414634
